,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,14,0,16,0,17,0,18,0,20,0,16,0,16,0,18,0,18,0,17,0,12,0,17,0,20,0,18,0,16,0,16,0,16,0,304
가구거리,상행,1,가구삼거리,반구사거리,15분,0,1,0,0,0,0,0,0,0,0,0,4,0,14,0,17,0,19,0,17,0,16,0,15,0,18,0,18,0,18,0,16,0,18,0,20,0,14,0,16,0,16,0,16,0,19,0,12,0,303
가구거리,상행,1,가구삼거리,반구사거리,30분,0,6,0,0,0,0,0,0,0,0,0,6,0,15,0,16,0,17,0,14,0,17,0,18,0,17,0,15,0,18,0,18,0,16,0,16,0,17,0,20,0,20,0,16,0,14,0,12,0,309
가구거리,상행,1,가구삼거리,반구사거리,45분,0,6,0,0,0,0,0,0,0,0,0,15,0,16,0,16,0,18,0,18,0,16,0,14,0,18,0,18,0,18,0,17,0,18,0,18,0,16,0,16,0,17,0,20,0,17,0,8,0,319
가구거리,상행,1,가구삼거리,반구사거리,소계,0,20,0,0,0,0,0,0,0,0,0,25,0,58,0,62,0,70,0,65,0,68,0,68,0,70,0,66,0,72,0,69,0,68,0,66,0,63,0,72,0,70,0,68,0,66,0,48,0,1234
가구거리,상행,계,,,,0,20,0,0,0,0,0,0,0,0,0,25,0,58,0,62,0,70,0,65,0,68,0,68,0,70,0,66,0,72,0,69,0,68,0,66,0,63,0,72,0,70,0,68,0,66,0,48,0,1234
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,18,0,19,0,18,0,18,0,20,0,19,0,19,0,20,0,20,0,20,0,19,0,20,0,20,0,19,0,20,0,18,0,18,0,350
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,0,0,8,0,18,0,20,0,20,0,19,0,21,0,20,0,21,0,18,0,20,0,20,0,20,0,19,0,14,0,20,0,18,0,20,0,19,0,10,0,346
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,2,0,10,0,20,0,18,0,20,0,20,0,20,0,18,0,18,0,18,0,18,0,20,0,18,0,20,0,21,0,22,0,20,0,20,0,19,0,7,0,348
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,19,0,20,0,21,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,18,0,22,0,20,0,19,0,20,0,18,0,20,0,19,0,5,0,363
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,40,0,78,0,78,0,78,0,77,0,80,0,78,0,78,0,75,0,78,0,79,0,80,0,78,0,74,0,82,0,75,0,79,0,76,0,40,0,1406
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,40,0,78,0,78,0,78,0,77,0,80,0,78,0,78,0,75,0,78,0,79,0,80,0,78,0,74,0,82,0,75,0,79,0,76,0,40,0,1406
가구거리,소계,,,,,0,20,0,0,0,0,0,0,0,4,0,66,0,135,0,140,0,148,0,142,0,148,0,146,0,148,0,142,0,150,0,148,0,148,0,144,0,137,0,153,0,146,0,148,0,142,0,88,0,2640
강남로,상행,1,태화R,번영교남교차로,00분,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,3816,0
강남로,상행,1,태화R,번영교남교차로,15분,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,3816,0
강남로,상행,1,태화R,번영교남교차로,30분,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,3816,0
강남로,상행,1,태화R,번영교남교차로,45분,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,3816,0
강남로,상행,1,태화R,번영교남교차로,소계,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,15264,0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,216,0,5184,0
